SMILES,Authors,Congener,Albumin_Type,Temperature,Method,Ka
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,BSA,310.0,fluorescence quenching,70000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,BSA,310.0,fluorescence quenching,100000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,BSA,310.0,fluorescence quenching,170000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,BSA,310.0,fluorescence quenching,230000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,BSA,310.0,fluorescence quenching,600000.0
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFDA,BSA,310.0,fluorescence quenching,180000.0
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFDA,BSA,310.0,fluorescence quenching,140000.0
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFDA,BSA,310.0,fluorescence quenching,300000.0
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFUnA,BSA,310.0,fluorescence quenching,300000.0
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFUnA,BSA,310.0,fluorescence quenching,20000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,HSA,310.0,fluorescence quenching,30000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,HSA,310.0,fluorescence quenching,50000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFNA,HSA,298.0,fluorescence quenching,7810000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFNA,HSA,304.0,fluorescence quenching,202000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFNA,HSA,310.0,fluorescence quenching,99000.0
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)O,Peng et al.2024,HFPO-TA,HSA,298.0,fluorescence quenching,3700000.0
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)O,Peng et al.2024,HFPO-TA,HSA,304.0,fluorescence quenching,85400000.0
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)O,Peng et al.2024,HFPO-TA,HSA,310.0,fluorescence quenching,2310000000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFOA,HSA,298.0,fluorescence quenching,2270000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFOA,HSA,304.0,fluorescence quenching,2230000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFOA,HSA,310.0,fluorescence quenching,1980000.0
C(=O)(C(OC(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFO3DA,HSA,298.0,fluorescence quenching,159000.0
C(=O)(C(OC(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFO3DA,HSA,304.0,fluorescence quenching,45500.0
C(=O)(C(OC(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFO3DA,HSA,310.0,fluorescence quenching,29900.0
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFHpA,HSA,298.0,fluorescence quenching,4530.0
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFHpA,HSA,304.0,fluorescence quenching,535000.0
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFHpA,HSA,310.0,fluorescence quenching,747000.0
C(=O)(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,DFSA,HSA,298.0,fluorescence quenching,1520.0
C(=O)(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,DFSA,HSA,304.0,fluorescence quenching,4930.0
C(=O)(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,DFSA,HSA,310.0,fluorescence quenching,20700.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Sheng et al.2020,PFOS,HSA,310.0,ultrafiltration centrifugation,32573.28990228013
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F,Sheng et al.2020,6:2 Cl-PFESA,HSA,310.0,ultrafiltration centrifugation,59880.239520958086
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Starnes et al.2024,PFBA,HSA,-100.0,DSF,378.7878787878788
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Starnes et al.2024,PFHxA,HSA,-100.0,DSF,584.7953216374269
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Starnes et al.2024,PFOA,HSA,-100.0,DSF,1265.8227848101264
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Starnes et al.2024,PFBS,HSA,-100.0,DSF,595.2380952380953
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Starnes et al.2024,PFOS,HSA,-100.0,DSF,1449.2753623188407
C1(C(O1)(F)F)(C(F)(F)F)F,Starnes et al.2024,HFPO-DA,HSA,-100.0,DSF,636.9426751592357
C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Starnes et al.2024,6:2 FTSA,HSA,-100.0,DSF,2439.0243902439024
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Starnes et al.2024,PFBA,BSA,-100.0,DSF,326.797385620915
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Starnes et al.2024,PFHxA,BSA,-100.0,DSF,460.8294930875576
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Starnes et al.2024,PFOA,BSA,-100.0,DSF,1010.1010101010102
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Starnes et al.2024,PFBS,BSA,-100.0,DSF,1250.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Starnes et al.2024,PFOS,BSA,-100.0,DSF,1162.7906976744187
C1(C(O1)(F)F)(C(F)(F)F)F,Starnes et al.2024,HFPO-DA,BSA,-100.0,DSF,392.15686274509807
C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Starnes et al.2024,6:2 FTSA,BSA,-100.0,DSF,719.4244604316547
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Starnes et al.2024,PFBA,PSA,-100.0,DSF,781.2499999999999
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Starnes et al.2024,PFHxA,PSA,-100.0,DSF,1052.6315789473683
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Starnes et al.2024,PFOA,PSA,-100.0,DSF,2702.702702702703
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Starnes et al.2024,PFBS,PSA,-100.0,DSF,800.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Starnes et al.2024,PFOS,PSA,-100.0,DSF,2631.578947368421
C1(C(O1)(F)F)(C(F)(F)F)F,Starnes et al.2024,HFPO-DA,PSA,-100.0,DSF,471.6981132075472
C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Starnes et al.2024,6:2 FTSA,PSA,-100.0,DSF,1923.0769230769229
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Starnes et al.2024,PFBA,RSA,-100.0,DSF,526.3157894736842
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Starnes et al.2024,PFHxA,RSA,-100.0,DSF,751.8796992481203
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Starnes et al.2024,PFOA,RSA,-100.0,DSF,2500.0
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Starnes et al.2024,PFBS,RSA,-100.0,DSF,709.2198581560284
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Starnes et al.2024,PFOS,RSA,-100.0,DSF,2380.952380952381
C1(C(O1)(F)F)(C(F)(F)F)F,Starnes et al.2024,HFPO-DA,RSA,-100.0,DSF,609.7560975609756
C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Starnes et al.2024,6:2 FTSA,RSA,-100.0,DSF,3030.3030303030305
C(=O)(C(OC1(C(OC(O1)(F)F)(OC(F)(F)F)F)F)(F)F)O,Moro et al.2022,C6O4,HSA,310.0,Isothermal Titration Calorimetry,185185.1851851852
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Moro et al.2022,PFHxA,HSA,298.0,Isothermal Titration Calorimetry,222222.22222222222
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Moro et al.2022,PFHxA,HSA,310.0,Isothermal Titration Calorimetry,169491.5254237288
C1(C(O1)(F)F)(C(F)(F)F)F,Moro et al.2022,HPFO-DA,HSA,298.0,Isothermal Titration Calorimetry,52631.57894736842
C1(C(O1)(F)F)(C(F)(F)F)F,Moro et al.2022,HPFO-DA,HSA,310.0,Isothermal Titration Calorimetry,101010.101010101
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Moro et al.2022,PFOA,HSA,298.0,Isothermal Titration Calorimetry,2500000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Moro et al.2022,PFOA,HSA,310.0,Isothermal Titration Calorimetry,25445.29262086514
